epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,589.062,0.70442,0.58909,0.96558,0.95937,0.98805,0.99086,0.85282,0.53279,0.35518,0.91935,0.000258434,0.000258434,0.000258434
43,602.538,0.69603,0.55951,0.94551,0.95663,0.97523,0.99167,0.86314,0.55832,0.36645,0.94737,0.000254127,0.000254127,0.000254127
44,616.131,0.70788,0.5593,0.94717,0.9675,0.98911,0.99125,0.85027,0.54751,0.32891,0.92946,0.00024982,0.00024982,0.00024982
45,629.573,0.70958,0.54822,0.94729,0.97722,0.99615,0.99333,0.85032,0.57465,0.36573,0.95108,0.000245514,0.000245514,0.000245514
46,643.402,0.70676,0.55822,0.95703,0.96991,0.99931,0.99125,0.85269,0.56317,0.31516,0.9436,0.000241207,0.000241207,0.000241207
47,656.818,0.68092,0.51018,0.94662,0.97269,0.999,0.99333,0.84802,0.56306,0.33283,0.94422,0.000236901,0.000236901,0.000236901
48,670.244,0.67888,0.53098,0.95056,0.96452,0.98574,0.99333,0.85052,0.55406,0.32821,0.95058,0.000232595,0.000232595,0.000232595
49,683.732,0.70491,0.55062,0.94591,0.9523,0.99296,0.99375,0.8542,0.56214,0.32342,0.94572,0.000228288,0.000228288,0.000228288
50,697.178,0.6841,0.5162,0.94931,0.96431,1,0.9924,0.84408,0.55214,0.33351,0.93911,0.000223982,0.000223982,0.000223982
51,710.598,0.68242,0.51968,0.94895,0.97222,1,0.99167,0.85849,0.53733,0.30277,0.91824,0.000219675,0.000219675,0.000219675
52,724.184,0.66733,0.46936,0.91724,0.96804,1,0.9925,0.86316,0.52607,0.29246,0.91148,0.000215368,0.000215368,0.000215368
53,737.787,0.65131,0.45469,0.92387,0.96334,1,0.9925,0.87044,0.52485,0.29054,0.9182,0.000211062,0.000211062,0.000211062
54,751.413,0.66854,0.47987,0.92636,0.94228,0.99673,0.99125,0.86634,0.52374,0.29656,0.92659,0.000206755,0.000206755,0.000206755
55,765.228,0.71095,0.50449,0.94561,0.96975,0.98697,0.99125,0.84927,0.55085,0.30919,0.93137,0.000202449,0.000202449,0.000202449
56,778.634,0.67834,0.49016,0.96832,0.96975,0.97217,0.98732,0.8533,0.54071,0.37587,0.93062,0.000198142,0.000198142,0.000198142
57,792.075,0.6775,0.48478,0.94931,0.9758,0.99351,0.99208,0.86435,0.5436,0.28308,0.93149,0.000193836,0.000193836,0.000193836
58,805.534,0.65906,0.45903,0.95304,0.96659,0.98364,0.99125,0.86363,0.54389,0.27806,0.92835,0.00018953,0.00018953,0.00018953
